signal,trend,composite,tech_score,emotion_score,rsi,macd,bb_position,fear_greed,price_change_24h_pct,close,timestamp
NEUTRAL,bullish,47,63,18,43.38848840247222,172.68110585281102,0.22666414451171937,76,-0.4705256110983602,72061.34,2024-10-30 15:00:00
SELL,bullish,45,61,18,45.62753112695127,153.05930012692988,0.29847347384693645,76,-0.8641529272152781,72110.86,2024-10-30 16:00:00
SELL,bullish,45,61,18,43.857184240997434,118.69988766219467,0.11108333647181225,76,-1.1369127424489256,71894.72,2024-10-30 17:00:00
SELL,bullish,44,58,18,44.500882364499795,96.81157433327462,0.21772175386359707,76,-1.6335381121309056,71974.75,2024-10-30 18:00:00
NEUTRAL,bullish,47,63,18,37.620908521536215,66.37495763017796,0.0801560929636599,76,-0.9845434332338643,71822.01,2024-10-30 19:00:00
NEUTRAL,bullish,47,63,18,57.706481318234445,124.34666867327178,1.0961178789769546,74,0.7201371595032091,72857.14,2024-10-30 20:00:00
NEUTRAL,bullish,47,63,18,52.01928097401893,130.93274805264082,0.6575144368222963,74,0.13573112068920867,72388.1,2024-10-30 21:00:00
NEUTRAL,bullish,46,62,18,51.970094458467486,135.34255100738665,0.6627392081769043,74,-0.3614093036058419,72397.4,2024-10-30 22:00:00
SELL,bullish,45,61,18,46.85643759496063,133.0543618578813,0.6076623994963714,74,-0.538492271134583,72344.74,2024-10-30 23:00:00
NEUTRAL,bullish,47,63,18,47.102805781526186,115.48607278794225,0.44646721305405923,74,-0.1715313558626863,72165.99,2024-10-31 00:00:00
SELL,bullish,45,60,18,55.56337033501058,116.67996513728576,0.6454920885234239,74,-0.06263864461903967,72370.0,2024-10-31 01:00:00
SELL,bullish,45,61,18,59.78416043505451,130.88475298776757,0.7965365923137819,74,0.29031147316413985,72553.01,2024-10-31 02:00:00
SELL,bullish,45,61,18,55.34689892546914,124.62611380523595,0.607637266961088,74,0.16576681341198274,72353.74,2024-10-31 03:00:00
NEUTRAL,bullish,47,63,18,47.886373397120515,111.94055759321782,0.5334385250388632,75,-0.011081597078099747,72273.99,2024-10-31 04:00:00
NEUTRAL,bullish,46,62,18,53.78184385880559,101.3650299901492,0.5564903987446117,75,-0.2979392534966485,72282.0,2024-10-31 05:00:00
NEUTRAL,bullish,46,62,18,51.723445393001164,86.34973024427018,0.4979135655539268,75,-0.1302652562411244,72212.12,2024-10-31 06:00:00
SELL,bullish,45,61,18,58.9260758887868,89.96042440069141,0.6754708779967863,75,0.26194831117409834,72417.19,2024-10-31 07:00:00
SELL,bullish,45,61,18,55.0422390017683,80.50509447311924,0.5199777435098336,75,0.048033432376337615,72276.05,2024-10-31 08:00:00
SELL,bullish,45,60,18,58.4278216414317,74.46510556149588,0.5333760772727453,75,-0.37382876242438856,72304.7,2024-10-31 09:00:00
NEUTRAL,bullish,48,65,18,44.96396392228646,95.57366005453514,0.8609413216430674,77,0.3609521233103541,72639.27,2024-10-31 10:00:00
NEUTRAL,bullish,47,64,18,46.153919158719034,78.05513539747335,0.43007559360917225,77,0.3361997577516762,72226.0,2024-10-31 11:00:00
NEUTRAL,bullish,48,65,18,43.58835134202961,54.50580541943782,0.3132557048758341,77,0.35043472803562015,72114.0,2024-10-31 12:00:00
SELL,bullish,42,56,18,32.507474572938364,-28.861969411416794,-0.25777607242453215,75,-0.9143206514187208,71308.0,2024-10-31 13:00:00
SELL,bullish,42,56,18,28.83664959392425,-138.20137169302325,-0.28876695418491216,75,-2.292126737924849,70752.02,2024-10-31 14:00:00
SELL,bullish,45,60,18,23.23029290647655,-232.82271112511808,-0.16081048175952248,75,-2.0001570883916298,70620.0,2024-10-31 15:00:00
SELL,bullish,45,60,18,17.452900185636068,-321.56726240525313,-0.1035198779612494,75,-2.3675768115925977,70403.58,2024-10-31 16:00:00
SELL,bullish,42,56,18,27.493499710130507,-356.9828822127165,0.09765375568188955,75,-1.5431453102536685,70785.28,2024-10-31 17:00:00
SELL,bullish,42,56,18,26.937958338946473,-392.75622670901066,0.10197573793872543,75,-1.8632645476365006,70633.67,2024-10-31 18:00:00
SELL,neutral,45,60,18,23.227650486188665,-459.51247978492756,0.015466656039288516,75,-2.4086488250607108,70092.07,2024-10-31 19:00:00
SELL,neutral,42,56,18,23.253462966626714,-511.7900857015484,0.06591144879976195,75,-3.8848766229363396,70026.73,2024-10-31 20:00:00
SELL,neutral,42,56,18,27.015614670518858,-513.7578956282377,0.21040679772834045,74,-2.6878865448879075,70442.39,2024-10-31 21:00:00
SELL,neutral,42,56,18,28.579845101757215,-506.4446082986833,0.2468095097619517,74,-2.6484376510758634,70480.0,2024-10-31 22:00:00
SELL,neutral,42,56,18,26.87504164971098,-509.9397295271192,0.2261658945837646,74,-2.8374281253896405,70292.01,2024-10-31 23:00:00
SELL,neutral,45,60,18,20.19040111425315,-516.3022349963576,0.22444724164522087,75,-2.7606632985981427,70173.73,2024-11-01 00:00:00
SELL,bearish,42,56,18,18.579951178583997,-576.9650272016443,0.08091769494542046,74,-4.101133066187657,69402.01,2024-11-01 01:00:00
SELL,bearish,42,56,18,22.212548329857867,-603.7278982775752,0.16366568464553838,74,-4.0978589310078135,69579.89,2024-11-01 02:00:00
SELL,bearish,40,53,18,25.5530803212053,-634.560029197135,0.1483595883332096,75,-4.123836583983076,69369.99,2024-11-01 03:00:00
SELL,bearish,38,49,18,34.02061855668788,-633.7746043711959,0.22843007749325459,75,-3.710864724640228,69592.0,2024-11-01 04:00:00
SELL,bearish,36,47,18,35.62294275121543,-624.5574811671395,0.2535988534088236,75,-3.697614897208168,69609.29,2024-11-01 05:00:00
SELL,bearish,38,49,18,33.88080903739498,-641.9009033728944,0.15642334280104822,75,-4.154413414257874,69212.13,2024-11-01 06:00:00
SELL,bearish,40,53,18,27.61033528654316,-643.2623777121771,0.184153223603556,75,-4.340806374840012,69273.7,2024-11-01 07:00:00
SELL,bearish,38,49,18,31.09718886125181,-628.8297735311353,0.21528948709407272,75,-4.012324967952729,69376.1,2024-11-01 08:00:00
SELL,bearish,35,45,18,40.53594056275881,-597.688220129683,0.2952993492476966,75,-3.8307329952271485,69534.9,2024-11-01 09:00:00
